beta,target_idx,seed,algorithm,fidelity,gate_count
0.01,0,42,EA,0.37944268331040254,5
0.01,0,42,SA,0.5215376235278051,39
0.01,1,43,EA,0.3359216770410098,4
0.01,1,43,SA,0.517331408922354,16
0.01,2,44,EA,0.34833823164897426,2
0.01,2,44,SA,0.6252152091201021,33
0.01,3,45,EA,0.3173080931827073,4
0.01,3,45,SA,0.37619111999829463,8
0.01,4,46,EA,0.3876276211375532,4
0.01,4,46,SA,0.5475048523443536,8
0.01,5,47,EA,0.42148889266720796,5
0.01,5,47,SA,0.292776147130088,4
0.01,6,48,EA,0.4335492752813401,8
0.01,6,48,SA,0.6961271418411645,10
0.01,7,49,EA,0.2998272812942358,4
0.01,7,49,SA,0.5808341852591077,5
0.01,8,50,EA,0.6006324675673231,6
0.01,8,50,SA,0.6579782087767554,17
0.01,9,51,EA,0.5330023060443146,5
0.01,9,51,SA,0.5936031483547866,8
0.05,0,42,EA,0.25894337002256435,2
0.05,0,42,SA,0.2692675553931066,2
0.05,1,43,EA,0.2852795538279274,2
0.05,1,43,SA,0.24465321024645373,1
0.05,2,44,EA,0.3133978794255506,2
0.05,2,44,SA,0.34067813878491576,2
0.05,3,45,EA,0.23170198577399953,2
0.05,3,45,SA,0.28284225297498583,2
0.05,4,46,EA,0.3351746103838595,3
0.05,4,46,SA,0.37869338690787585,3
0.05,5,47,EA,0.3102879684134173,3
0.05,5,47,SA,0.30901651073951464,3
0.05,6,48,EA,0.34341322700173516,3
0.05,6,48,SA,0.6096189874577587,6
0.05,7,49,EA,0.46954215079279893,4
0.05,7,49,SA,0.5657910538768284,5
0.05,8,50,EA,0.3509960205793783,2
0.05,8,50,SA,0.6099996817546889,6
0.05,9,51,EA,0.506775474172374,4
0.05,9,51,SA,0.10517667058842922,1
0.1,0,42,EA,0.17452212911053502,1
0.1,0,42,SA,0.17595801201975697,1
0.1,1,43,EA,0.24299868034566663,1
0.1,1,43,SA,0.24465321024645373,1
0.1,2,44,EA,0.27065623692873264,1
0.1,2,44,SA,0.2781967674284812,1
0.1,3,45,EA,0.15266712549658337,1
0.1,3,45,SA,0.2968089821851953,2
0.1,4,46,EA,0.2531813922437171,2
0.1,4,46,SA,0.25102409495878697,2
0.1,5,47,EA,0.17644821170646513,1
0.1,5,47,SA,0.17651221951458115,1
0.1,6,48,EA,0.2555482963502488,2
0.1,6,48,SA,0.25003173274125584,2
0.1,7,49,EA,0.3930294603513447,3
0.1,7,49,SA,0.40384262487958683,3
0.1,8,50,EA,0.4647865690913436,3
0.1,8,50,SA,0.5476164305521325,3
0.1,9,51,EA,0.10560761414194066,1
0.1,9,51,SA,0.10668349000025033,1
0.2,0,42,EA,0.17452212911053502,1
0.2,0,42,SA,0.17489123367888515,1
0.2,1,43,EA,0.24299868034566663,1
0.2,1,43,SA,0.24465321024645373,1
0.2,2,44,EA,0.27065623692873264,1
0.2,2,44,SA,0.2781967674284812,1
0.2,3,45,EA,0.15201366176658285,1
0.2,3,45,SA,0.15371452408658776,1
0.2,4,46,EA,0.10894112265798239,1
0.2,4,46,SA,0.10898453500596475,1
0.2,5,47,EA,0.1766139789089962,1
0.2,5,47,SA,0.17651221951458115,1
0.2,6,48,EA,0.13228096504808173,1
0.2,6,48,SA,0.13204519710863338,1
0.2,7,49,EA,0.058216395087673754,1
0.2,7,49,SA,0.06685551777759813,1
0.2,8,50,EA,0.10306017267305591,1
0.2,8,50,SA,0.36052789117800454,2
0.2,9,51,EA,0.10560761414194066,1
0.2,9,51,SA,0.10668349000025033,1
0.4,0,42,EA,0.17256088626418192,1
0.4,0,42,SA,0.1766848857627611,1
0.4,1,43,EA,0.24299868034566663,1
0.4,1,43,SA,0.24465321024645373,1
0.4,2,44,EA,0.2645741905098266,1
0.4,2,44,SA,0.2781967674284812,1
0.4,3,45,EA,0.15266712549658337,1
0.4,3,45,SA,0.15371452408658776,1
0.4,4,46,EA,0.10894112265798239,1
0.4,4,46,SA,0.10898453500596475,1
0.4,5,47,EA,0.1766139789089962,1
0.4,5,47,SA,0.17651221951458115,1
0.4,6,48,EA,0.13228096504808173,1
0.4,6,48,SA,0.13204519710863338,1
0.4,7,49,EA,0.058216395087673754,1
0.4,7,49,SA,0.06685551777759813,1
0.4,8,50,EA,0.10306017267305591,1
0.4,8,50,SA,0.10307264910639152,1
0.4,9,51,EA,0.10560761414194066,1
0.4,9,51,SA,0.10668349000025033,1
